tag	bridge	console	kprobe	drains	el2_hits	el2_written	LOST_IN_RING	overflow_drains	hits_max	written_max	nested	link_ok	link_dropped	kcov_req	kcov_acc	LOST_IN_KCOV	skip_own/kcov
r1-off-loud-kpoff	off	loud	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r1-on-loud-kpoff	on	loud	off	78	27761	26525	1236	4	1008	509	0	26525	0	26525	26525	0	0/0
r1-off-quiet-kpoff	off	quiet	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r1-on-quiet-kpoff	on	quiet	off	78	27542	26311	1231	4	985	509	0	26311	0	26311	26311	0	0/0
r1-off-loud-kpon	off	loud	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r1-on-loud-kpon	on	loud	on	78	28380	26971	1409	4	978	509	0	26971	0	26971	26971	0	0/0
r1-off-quiet-kpon	off	quiet	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r1-on-quiet-kpon	on	quiet	on	78	28493	26995	1498	4	1033	509	0	26995	0	26995	26995	0	0/0
r2-on-loud-kpoff	on	loud	off	78	28533	26995	1538	4	1088	509	0	26995	0	26995	26995	0	0/0
r2-off-quiet-kpoff	off	quiet	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r2-on-quiet-kpoff	on	quiet	off	78	28290	26809	1481	4	1045	509	0	26809	0	26809	26809	0	0/0
r2-off-loud-kpon	off	loud	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r2-on-loud-kpon	on	loud	on	78	27574	26280	1294	4	969	509	0	26280	0	26280	26280	0	0/0
r2-off-quiet-kpon	off	quiet	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r2-on-quiet-kpon	on	quiet	on	78	28262	26878	1384	4	1033	509	0	26878	0	26878	26878	0	0/0
r2-off-loud-kpoff	off	loud	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r3-off-quiet-kpoff	off	quiet	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r3-on-quiet-kpoff	on	quiet	off	78	28371	26890	1481	4	1045	509	0	26890	0	26890	26890	0	0/0
r3-off-loud-kpon	off	loud	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r3-on-loud-kpon	on	loud	on	78	28316	26914	1402	4	993	509	0	26914	0	26914	26914	0	0/0
r3-off-quiet-kpon	off	quiet	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r3-on-quiet-kpon	on	quiet	on	78	28521	26995	1526	4	966	509	0	26995	0	26995	26995	0	0/0
r3-off-loud-kpoff	off	loud	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0
r3-on-loud-kpoff	on	loud	off	78	28093	26585	1508	4	1087	509	0	26585	0	26585	26585	0	0/0
